Series Number,Filename,Name,Description,Gender,Attributes,UUID,Sha256
TEAM BEVEL,,,,,,,48eb8a64c724e3fa6cd5f818f106cc7be94b7647e3488b4931962df6ea40df5e
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,"hair: bald, eyes: black, teeth: none, clothing: red, accessories: mask, expression: none, strength: powerful, weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,11be864327de4353ef0e7448c90395612139075dffe61fe0ca3f5c420f2731f2
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none: strength: powerful, weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,14befa76dce401756b01172ce800df69b8c74a512871cce95e9feb1dc7d626dc
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,"hair: brown bun, eyes: none, teeth: none, clothing: yellow, accessories: glasses, expression: blank, strength: none, weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,a2baf37860c1917e7478e8d13b1ae0cc2e02f75e90127d6cd515f304fc52c907
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: powerful, weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,b4ce185331fafa89a8e4a98ce9a1dcd9bd86e7a124721190293dc52d1b47691d
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,"hair: bald, eyes: black, teeth: none, clothing: blue, accessories: mask, expression: none, strength: hustler, weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,7ac8326565b34801f39b7cfb8fc07fe499f06ecadf21b2a37f96926c0f3f868c
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,"hair: brown hair, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: hardworking, weakness: none",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,61d65db43e5b9389577d4357fe4e02fc9e3bdddc03cbb1266edae9b137774959
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,"hair: dreads, eyes: none, teeth: none, clothing: multicolored, accessories: glasses, expression: none, strength: none, weakness: none",182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,bae469c73ba4b69f468265992ba2fa777e9248959943731a87fcc227cc93447f
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",27eca2dc-d7df-474a-8f8f-1858152c711e,f999fc13036c2aa65f397673631810b0b6bbce5359657d8dcb42dfe4516df05c
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,"hair: bald, eyes: none, teeth: none, clothing: multicolored, accessories: none, expression: none, strength: powerful, weakness: none",f1df8270-4d60-4bd4-8959-ba7c384db5c4,3af0f4ac82b361810680368e4762f20a744eb64cf4433289af68b1a134ad1d90
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,"hair: bald, eyes: white, teeth: none, clothing: orange, accessories: mask, expression: none, strength: hard worker, weakness: none",9b3d75da-4887-4089-aee4-50de3954fdc9,21005d4a729b146a032719c4c03c3c5a29b286ed36cfba6b504ac96daa299c73
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: none, weakness: none",c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,cbfeb271b99768d91ead26541b8199432a62d1c215b57b4120d96948aa03344a
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,"hair: bald, eyes: yellow, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: agility, weakness: none",e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,58d1324d50630bb63a5c79d45effdd3047baa6cd9c55ecd1605ca89e824a40fd
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,"hair: bald, eyes: blue, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: none, weakness: none",dfbb4163-df24-4d54-b74c-6218a68df8bd,1c6fe1cbf6c0076b8d3773730774ccae02f5a16dbe99a7d4a04e9dcaa8217fda
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,"hair: bald, eyes: ash, teeth: none, clothing: multicolored, accessories: mask, expression: none, strength: creativity, weakness: none ",dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,70b94bdab09f6f72d66b58773ea1c9d7a75bbe723c3ec7e75785d921c1b902ca
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,"hair: brown double bun, eyes: none, teeth: none, clothing: animal print, accessories: glasses, expression: none, strength: hustler, weakness: none",59524227-dc52-407c-8cca-e9e8c5fb3018,6a4b8b4899f41387c12b98b39a72fde1dc09127b1fcf3ae74b9e8e54cda0dde0
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,"hair: bald, eyes: black, teeth: none, clothing; yellow and purple agbada, accessories: mask, expression: none strength: none, weakness: none",808f7007-6552-4efa-bd13-4b7c337b102b,df2459aa10e5b298001f2281391e7de68b0470b6873474c32062530664cc483c
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,"hair: bald, eyes: blue, teeth: none, clothing: orange, accessories: mask, expression: none, strength: intelligence, weakness: none",ba3edda7-8940-4ca4-97ba-826398d5909f,f2ac36685e500f482ddad4131347ebfc6ab35aefd38d35f750952d3d7265814e
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,"hair: braids, eyes: none, teeth: none, clothing: black top, accessories: glasses, expression: none, strength: none, weakness: untruthfulness",78da7aeb-8352-4e25-89ac-dc48b5984089,a265d318d6754e1170fde537a8372352b623619488db1330f3a1e85c9aed5add
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,"hair: bald, eyes: white, teeth: none, clothing: purple and yellow agbada, accessories: mask, expression: none, strength: none, weakness: promiscuity",53b46bd7-a537-402b-b249-0b4074a8faae,606b816e0053e61463ad55b440ac71526dd4f5cb1cd6bdd9b03b876b5be81e0b
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,"hair: bald, eyes: black, teeth: none, clothing: green and purple agbada, accessories: mask, expression: none, strength:none, weakness:slow to understand things",4adb6781-1614-424e-8f77-fe59ffca2209,9220ae79e9f2a973e93f7d4cb78a7573f5fa85fa82e924fb2e0d88deef5e0e22
,,,,,,,b645faf718651c8475e5daef54ba5002d58f8d65a195c40cb1320fa306dd003b
TEAM CLUTCH,,,,,,,28322c79c36839ac97767e3bdc2cc73009462ff0d42d5faca1c2fc8d361313f0
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair: none, eyes: black, teeth: none, clothings: purple and yellow kaftan, accessories: cap, expression: happy, strength: strong, weakness: no limitation",770f817a-9d9a-4772-9a91-e66dd9d03470,9519b53aa0f13f1c58ece94a5192a7aa44fb570dab6c04946c2edda1b5bcf953
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair: none, eyes: black, teeth: none, clothings: yellow and black ankara, accessories: cap, expression: straight face, strength: funny, weakness: little physique",78810fa6-a7ef-4d83-bf57-caf49db4ee69,49fce3995552f039fcea556af658f1f7f4ab2020970e64d3748558c68cd8e396
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair: none, eyes: brown, teeth: none, clothings: wine and yellow, accessories: yayada cap, expression: happy, strength: influence, weakness: impatience ",f2957ded-022c-4b07-92c6-b345d4816a67,1041aa406c2c75b9a51db94a6d624e2cd806ba5b02cad518b16bd20835a304f3
